2006-11-20,Tor,96,Uta,101
2006-11-21,Mem,94,Cle,97
2006-11-21,Was,80,Dal,107
2006-11-21,Chi,109,Den,113
2006-11-21,Mil,88,Ind,93
2006-11-21,LAC,101,LAL,105
2006-11-21,Mia,86,NOO,101
2006-11-21,Det,97,Phi,87
2006-11-22,Bos,83,CHR,92
2006-11-22,Atl,98,Det,103
2006-11-22,Den,115,GSW,112
2006-11-22,Was,82,Hou,86
2006-11-22,Sea,95,LAC,85
2006-11-22,Phi,94,Mil,98
2006-11-22,NYK,89,Min,107
2006-11-22,Ind,91,Orl,96
2006-11-22,NOO,83,Pho,92
2006-11-22,NJN,97,Por,100
2006-11-22,Uta,110,Sac,101
2006-11-22,Mia,86,SAS,106
2006-11-22,Cle,87,Tor,95
2006-11-24,Tor,93,Atl,97
2006-11-24,NYK,101,Bos,77
2006-11-24,GSW,129,Den,140
2006-11-24,CHR,95,Det,104
2006-11-24,Cle,87,Ind,97
2006-11-24,Was,80,Mem,95
2006-11-24,Orl,107,Mia,104
2006-11-24,Min,86,NOO,79
2006-11-24,Chi,108,Phi,123
2006-11-24,NJN,93,Pho,99
2006-11-24,Dal,95,SAS,92
2006-11-24,Sac,109,Sea,100
2006-11-24,LAL,108,Uta,114
2006-11-25,Mia,102,CHR,93
2006-11-25,Phi,95,Cle,108
2006-11-25,NOO,73,Dal,85
2006-11-25,Uta,78,GSW,91
2006-11-25,Mem,76,Hou,85
2006-11-25,Bos,111,Mil,98
2006-11-25,LAC,96,Min,104
2006-11-25,Chi,106,NYK,95
2006-11-25,Atl,79,Orl,98
2006-11-25,Por,85,Sac,105
2006-11-25,Det,115,Was,111
2006-11-26,LAC,88,Den,103
2006-11-26,NJN,93,LAL,99
2006-11-26,Pho,119,Por,101
2006-11-26,SAS,98,Sea,78
2006-11-26,Ind,83,Tor,92
2006-11-27,Min,87,Dal,93
2006-11-27,SAS,102,GSW,111
2006-11-27,Phi,91,Mia,103
2006-11-27,Orl,88,Uta,75
2006-11-28,NYK,85,Chi,102
2006-11-28,Mem,108,Den,96
2006-11-28,Min,75,Hou,82
2006-11-28,Mil,109,LAL,105
2006-11-28,CHR,96,NJN,92
2006-11-28,Tor,94,NOO,77
2006-11-28,Ind,105,Por,97
2006-11-28,LAC,80,Sac,93
2006-11-28,Atl,95,Was,96
2006-11-29,CHR,90,Atl,99
2006-11-29,NJN,106,Bos,103
2006-11-29,NYK,101,Cle,98
2006-11-29,Tor,98,Dal,117
2006-11-29,Ind,108,GSW,106
2006-11-29,Mem,90,LAC,105
2006-11-29,Hou,91,Pho,102
2006-11-29,Orl,94,Sea,84
2006-11-29,SAS,75,Uta,83
2006-11-30,Uta,102,LAL,132
2006-11-30,Det,87,Mia,85
2006-12-01,Cle,106,Atl,95
2006-12-01,Sac,90,Dal,109
2006-12-01,NYK,100,Det,108
2006-12-01,Den,106,Min,92
2006-12-01,Chi,111,NOO,108
2006-12-01,Mil,116,Pho,122
2006-12-01,Orl,91,Por,89
2006-12-01,Ind,103,Sea,105
2006-12-01,Bos,102,Tor,106
2006-12-01,CHR,109,Was,121
2006-12-02,Was,94,Chi,112
2006-12-02,Ind,101,Den,121
2006-12-02,Mil,115,GSW,110
2006-12-02,Cle,63,Hou,81
2006-12-02,LAL,97,LAC,88
2006-12-02,Mia,98,Mem,97
2006-12-02,Phi,107,NJN,112
2006-12-02,Tor,103,NYK,100
2006-12-02,Sac,98,SAS,100
2006-12-02,Sea,107,Uta,109
2006-12-03,Det,89,CHR,97
2006-12-03,Orl,91,LAC,116
2006-12-03,Min,95,Phi,84
2006-12-03,Atl,107,Por,96
2006-12-04,Bos,82,Chi,100
2006-12-04,Ind,87,LAL,101
2006-12-04,Mem,90,NYK,98
2006-12-04,Orl,92,Sac,89
2006-12-04,GSW,89,SAS,129
2006-12-04,Mil,88,Uta,101
2006-12-04,Dal,97,Was,106
2006-12-05,Por,88,Det,85
2006-12-05,GSW,90,Hou,118
2006-12-05,Mia,97,LAC,101
2006-12-05,Dal,92,NJN,75
2006-12-05,Sac,102,Pho,127
2006-12-05,Atl,87,Sea,102
2006-12-06,Mem,98,Bos,96
2006-12-06,Phi,94,Chi,121
2006-12-06,SAS,96,CHR,76
2006-12-06,Tor,91,Cle,95
2006-12-06,Atl,98,Den,96
2006-12-06,Orl,80,Ind,94
2006-12-06,NOO,105,LAL,89
2006-12-06,Por,94,Mil,102
2006-12-06,Hou,84,Min,90
2006-12-06,Was,113,NYK,102
2006-12-07,Det,92,Dal,82
2006-12-07,Pho,161,NJN,157
2006-12-07,Mia,93,Sac,91
2006-12-08,Pho,116,Bos,111
2006-12-08,Tor,90,Chi,93
2006-12-08,Hou,92,CHR,62
2006-12-08,Mia,107,Den,123
2006-12-08,Por,95,Ind,108
2006-12-08,Atl,95,LAL,106
2006-12-08,Mem,94,Mil,100
2006-12-08,Uta,103,Min,110
2006-12-08,Det,87,Orl,83
2006-12-08,Was,113,Phi,98
2006-12-08,LAC,82,SAS,111
2006-12-08,NOO,74,Sea,94
2006-12-09,Min,91,Chi,81
