34,6,17,38,21,7,3,12,92,34,8,15,37,21,7,3,12,91,36,2,17,44,19,7,5,15,92,38,5,23,47,24,8,5,14,105,12,206
34,6,18,37,21,8,3,12,94,34,7,15,35,21,7,3,12,92,36,6,23,36,22,7,5,15,102,36,5,19,41,21,8,3,13,98,13,195
34,6,19,38,21,8,3,12,95,34,7,14,35,20,6,3,12,92,34,4,18,38,14,8,3,14,92,36,6,22,41,22,6,4,15,101,19,193
35,7,19,39,21,7,3,12,96,34,7,15,34,20,6,3,12,91,34,6,18,37,18,8,3,13,93,35,8,19,43,20,6,5,15,98,16,194
35,7,19,39,22,7,4,12,97,34,7,15,35,20,6,3,12,91,38,8,15,39,23,4,5,11,99,37,5,16,41,20,7,4,10,96,7,173
35,7,17,41,21,7,4,13,96,34,7,15,35,19,6,3,11,90,37,5,16,34,22,7,4,16,96,40,7,21,43,24,9,4,13,108,9,189
36,7,18,41,20,7,4,12,98,34,6,15,35,20,6,3,12,90,38,6,20,40,20,8,4,13,103,38,7,17,43,20,7,4,15,100,-13,187
35,7,18,40,20,8,4,12,96,34,6,16,35,19,6,3,12,91,36,8,20,41,22,5,3,14,101,37,6,18,40,19,7,6,10,99,9,167
35,7,18,40,20,8,4,12,97,33,6,16,35,19,5,3,12,90,36,6,12,39,20,6,4,11,91,35,7,17,43,22,5,4,13,96,12,182
36,7,18,41,21,7,4,12,98,34,5,16,35,18,5,2,12,90,36,5,22,45,18,7,5,14,101,39,5,18,44,24,7,6,13,103,27,187
36,8,19,40,21,7,4,11,99,33,5,15,35,18,4,2,12,88,37,9,17,40,19,7,2,14,101,40,7,16,47,23,8,6,15,104,-6,196
35,8,18,43,21,7,4,11,97,33,6,15,36,19,4,3,11,88,41,8,20,40,25,8,4,14,110,40,6,26,43,24,7,5,14,113,3,203
35,8,18,41,21,6,4,11,97,33,6,16,37,19,4,2,11,89,34,8,21,38,18,7,4,13,99,36,8,19,40,21,7,6,13,100,10,194
35,8,18,42,21,7,5,11,97,33,6,15,38,19,4,2,11,89,38,4,19,37,22,8,5,14,101,36,9,19,37,24,6,4,15,102,15,187
34,8,18,39,20,7,4,11,96,34,6,15,38,19,5,3,12,89,37,8,20,38,19,8,4,15,104,37,9,20,39,23,7,4,14,105,13,175
34,8,19,39,21,7,3,11,97,34,5,14,38,19,4,3,13,89,36,7,20,38,19,8,4,15,100,41,7,22,47,25,8,6,14,112,-4,178
33,8,19,40,21,7,4,12,96,34,5,15,38,18,5,3,13,89,34,6,19,39,17,5,4,12,94,34,5,21,38,22,6,5,11,96,-8,186
34,8,19,40,21,7,3,11,96,34,5,14,39,18,5,2,13,89,40,6,17,42,24,7,5,12,104,36,5,24,40,20,6,4,12,102,-14,200
33,8,20,38,21,7,4,11,96,36,5,14,39,19,5,3,13,92,36,6,18,38,22,6,2,13,98,37,9,19,36,23,7,3,11,102,9,193
34,9,20,38,21,8,4,12,97,36,5,14,39,20,5,3,14,92,38,7,16,42,20,7,4,14,99,37,5,18,41,23,7,7,12,99,4,198
33,8,21,38,20,8,4,12,96,36,5,15,40,20,6,3,13,94,35,6,18,43,21,6,4,15,96,32,6,20,36,17,8,4,12,92,-12,166
32,7,21,36,20,8,4,12,94,36,5,15,39,19,6,3,14,93,38,12,20,42,21,6,3,13,109,36,5,21,39,20,6,3,11,100,32,202
34,7,20,37,20,8,4,12,96,35,5,15,39,18,6,3,14,91,36,4,17,40,18,6,3,10,94,36,5,21,42,20,5,3,11,98,3,177
33,6,21,38,20,8,4,12,95,35,5,15,39,19,6,3,13,91,34,7,20,33,20,8,3,12,95,37,6,21,43,21,7,5,16,102,1,189
34,5,20,40,20,7,4,12,94,34,6,15,39,18,5,3,12,92,35,5,18,36,17,7,4,12,95,38,7,18,41,21,7,4,13,102,16,192
34,5,20,41,20,6,4,11,95,34,6,17,39,18,5,3,11,92,37,5,26,44,21,7,3,17,106,42,7,22,40,25,9,5,13,114,18,198
36,5,19,40,22,7,4,11,97,34,6,17,38,18,6,2,11,92,35,8,20,40,18,6,4,13,100,39,6,17,41,22,6,4,11,102,-11,179
35,5,19,41,21,6,4,12,97,33,6,18,36,18,6,3,11,92,36,7,18,42,21,6,3,13,99,38,6,21,39,22,8,6,10,105,1,187
36,5,18,41,21,6,4,11,97,32,7,18,38,17,6,2,11,91,35,4,16,36,19,7,5,14,91,37,6,18,41,24,7,7,14,98,12,180
36,4,18,41,20,7,4,11,96,32,6,19,38,17,6,2,11,90,37,5,21,41,18,7,5,14,101,40,6,22,49,21,7,4,14,110,10,188
37,4,17,43,20,7,4,11,96,31,6,20,38,16,6,3,12,89,35,6,24,41,17,7,5,15,101,35,7,26,42,21,7,6,14,103,-13,189
37,4,17,43,21,6,4,11,97,31,6,20,37,16,6,3,12,90,36,6,13,43,18,5,3,11,93,33,5,15,40,17,6,5,10,89,4,176
35,4,19,42,20,6,4,11,94,32,6,20,39,16,6,3,11,90,40,5,21,42,25,9,3,13,106,40,7,21,44,23,7,7,16,110,-14,202
36,4,18,41,20,6,4,12,95,33,5,20,39,17,7,3,12,92,44,8,16,40,23,8,4,15,114,44,8,24,42,26,8,6,15,122,-5,205
36,4,18,39,20,7,4,12,95,33,5,21,39,18,7,3,12,93,37,7,15,42,19,6,4,10,97,39,7,16,44,21,6,5,10,102,10,194
33,5,22,46,19,8,5,15,94,35,5,22,46,16,9,4,12,99,36,6,18,43,22,7,5,19,98,38,6,19,39,20,10,5,13,102,3,215
34,5,22,45,19,8,5,14,97,37,5,21,46,17,8,4,12,100,36,5,14,41,19,7,5,15,91,35,5,22,44,20,9,5,13,99,2,198
35,5,21,45,19,8,5,13,97,37,5,19,45,17,8,5,12,100,36,6,21,36,22,7,5,15,101,36,5,20,41,21,8,4,13,99,15,209
36,5,20,46,20,8,5,13,99,37,5,19,44,18,8,5,12,99,35,9,18,40,18,6,5,12,98,36,5,19,43,20,6,5,11,98,2,198
37,5,19,46,20,8,5,13,99,37,5,19,43,17,8,5,13,99,36,7,14,38,22,3,4,12,96,36,5,16,40,19,8,5,10,94,-7,259
