GameId,GameDate,HomeTeamId,Team,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,RoadTeamId,Team,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF
0020600001,2006-10-31,1610612748,MIA,66,25,65,3,17,13,22,4,25,13,6,3,21,24,1610612741,CHI,108,39,79,7,13,23,32,13,36,22,10,5,16,21
0020600002,2006-10-31,1610612747,LAL,114,46,83,6,12,16,24,12,31,30,11,1,20,19,1610612756,PHX,106,40,77,13,30,13,17,4,25,29,7,5,21,25
0020600004,2006-11-01,1610612766,CHA,99,37,78,4,10,21,32,11,35,23,8,7,22,29,1610612754,IND,106,35,86,6,16,30,41,18,32,26,14,5,17,26
0020600005,2006-11-01,1610612753,ORL,109,35,59,6,8,33,42,6,30,21,7,7,23,23,1610612741,CHI,94,37,82,6,20,14,24,11,16,21,7,0,15,31
0020600006,2006-11-01,1610612738,BOS,87,30,75,3,16,24,39,10,42,18,5,6,19,31,1610612740,NOK,91,36,84,1,11,18,33,10,36,17,6,4,15,31
0020600007,2006-11-01,1610612751,NJN,102,40,78,3,18,19,24,9,43,28,2,5,23,26,1610612761,TOR,92,37,94,4,20,14,20,7,31,21,8,5,15,27
0020600003,2006-11-01,1610612755,PHI,88,31,74,3,9,23,25,15,32,19,10,6,16,22,1610612737,ATL,75,26,78,4,17,19,22,17,25,11,9,4,18,24
0020600010,2006-11-01,1610612763,MEM,117,42,105,6,21,27,45,23,35,14,6,8,13,32,1610612752,NYK,118,40,95,10,22,28,36,18,38,22,6,7,23,42
0020600014,2006-11-01,1610612756,PHX,112,41,77,4,15,26,30,8,31,21,5,6,15,25,1610612746,LAC,104,38,89,4,10,24,29,17,27,12,5,3,14,26
0020600013,2006-11-01,1610612760,SEA,106,41,90,6,19,18,20,15,19,23,9,4,13,25,1610612757,POR,110,40,73,2,10,28,35,10,30,13,6,6,14,21
0020600012,2006-11-01,1610612762,UTA,107,39,74,3,10,26,31,11,36,19,6,3,16,25,1610612745,HOU,97,32,74,10,22,23,36,10,26,19,7,3,13,22
0020600011,2006-11-01,1610612750,MIN,92,35,72,4,9,18,20,6,32,19,7,7,19,26,1610612758,SAC,83,31,89,3,15,18,25,22,29,13,10,2,18,21
0020600015,2006-11-01,1610612744,GSW,98,34,82,3,19,27,42,12,34,18,6,4,10,31,1610612747,LAL,110,39,86,5,17,27,41,19,36,29,6,4,16,30
0020600008,2006-11-01,1610612765,DET,97,31,72,8,21,27,34,13,35,19,3,9,22,23,1610612749,MIL,105,43,93,2,14,17,25,11,27,26,12,0,8,25
0020600009,2006-11-01,1610612739,CLE,97,37,78,8,19,15,30,16,34,24,4,4,16,25,1610612764,WAS,94,36,77,2,13,20,29,9,24,22,7,4,11,26
0020600017,2006-11-02,1610612746,LAC,96,35,82,7,19,19,26,5,33,20,5,6,18,26,1610612743,DEN,95,34,88,4,23,23,30,13,43,24,9,6,19,27
0020600016,2006-11-02,1610612742,DAL,91,38,88,5,16,10,16,13,26,15,5,7,11,28,1610612759,SAS,97,34,69,4,11,25,37,7,32,20,6,5,12,16
0020600018,2006-11-03,1610612761,TOR,109,47,88,9,21,6,10,13,31,27,7,8,15,15,1610612749,MIL,92,38,86,5,20,11,14,11,27,22,7,3,15,20
0020600021,2006-11-03,1610612738,BOS,88,34,75,5,12,15,20,8,36,23,4,4,15,19,1610612765,DET,101,37,88,4,13,23,30,16,32,26,7,5,6,17
0020600020,2006-11-03,1610612754,IND,91,32,80,7,26,20,24,11,23,21,7,7,12,23,1610612740,NOK,100,37,84,3,14,23,27,19,34,16,2,4,15,22
0020600023,2006-11-03,1610612748,MIA,91,35,76,5,16,16,23,9,37,17,6,6,17,22,1610612751,NJN,85,30,77,6,20,19,22,8,32,12,5,2,16,21
0020600022,2006-11-03,1610612737,ATL,102,39,82,4,14,20,31,15,23,17,8,5,13,25,1610612752,NYK,92,33,72,1,9,25,34,11,29,18,2,2,17,28
0020600025,2006-11-03,1610612759,SAS,81,29,69,5,15,18,34,5,35,16,2,2,12,24,1610612739,CLE,88,33,74,4,9,18,30,8,41,16,6,5,11,29
0020600024,2006-11-03,1610612763,MEM,96,31,87,10,22,24,28,19,29,20,10,4,13,23,1610612766,CHA,83,32,68,3,13,16,29,5,32,22,6,9,19,28
0020600027,2006-11-03,1610612743,DEN,109,43,85,4,12,19,27,11,25,23,4,3,15,27,1610612750,MIN,112,42,81,3,11,25,33,13,28,22,7,4,16,25
0020600026,2006-11-03,1610612741,CHI,88,32,78,2,9,22,29,8,35,18,14,8,23,29,1610612758,SAC,89,27,73,5,15,30,37,9,34,17,12,4,26,28
0020600029,2006-11-03,1610612747,LAL,118,36,65,9,16,37,48,8,35,22,5,7,18,16,1610612760,SEA,112,44,98,11,31,13,16,15,25,23,12,2,9,30
0020600028,2006-11-03,1610612756,PHX,104,32,78,9,31,31,35,4,28,23,9,6,13,23,1610612762,UTA,108,38,81,4,9,28,34,10,38,21,6,2,18,33
0020600019,2006-11-03,1610612753,ORL,103,39,73,2,9,23,33,14,30,18,7,3,23,28,1610612755,PHI,105,37,66,8,11,23,33,3,19,23,11,3,15,29
0020600030,2006-11-03,1610612744,GSW,102,38,77,5,11,21,31,12,27,21,8,3,15,21,1610612757,POR,89,32,74,9,25,16,19,12,28,22,4,6,23,32
0020600032,2006-11-04,1610612766,CHA,92,31,70,7,13,23,30,7,27,21,4,8,15,36,1610612739,CLE,88,27,71,5,23,29,42,13,33,14,2,3,19,25
0020600031,2006-11-04,1610612764,WAS,124,43,82,7,18,31,42,8,20,22,11,6,10,27,1610612738,BOS,117,37,70,11,23,32,38,8,35,21,2,1,20,31
0020600039,2006-11-04,1610612746,LAC,114,41,87,1,12,31,45,13,41,21,2,6,9,23,1610612756,PHX,108,40,91,11,27,17,21,6,35,26,3,1,10,33
0020600038,2006-11-04,1610612757,POR,88,35,82,6,14,12,18,12,30,21,6,5,10,18,1610612750,MIN,86,35,73,4,12,12,13,7,34,23,6,3,15,16
