GameId,GameDate,HomeTeamId,Team,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF,RoadTeamId,Team,PTS,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,AST,STL,BLK,TOV,PF
0020900003,2009-10-27,1610612757,POR,96,33,77,10,21,20,22,12,39,23,9,12,26,27,1610612745,HOU,87,30,81,5,18,22,29,10,23,18,12,2,16,26
0020900004,2009-10-27,1610612747,LAL,99,35,85,4,17,25,37,17,30,17,13,4,16,15,1610612746,LAC,92,39,87,3,15,11,16,15,36,27,10,4,20,27
0020900001,2009-10-27,1610612739,CLE,89,29,70,6,17,25,32,6,26,17,7,9,13,22,1610612738,BOS,95,32,72,9,19,22,26,6,32,20,9,8,14,27
0020900002,2009-10-27,1610612742,DAL,91,30,76,4,18,27,34,11,31,16,6,9,9,20,1610612764,WAS,102,39,84,4,13,20,24,9,37,19,6,4,9,29
0020900005,2009-10-28,1610612737,ATL,120,46,87,7,12,21,29,8,27,30,16,6,10,25,1610612754,IND,109,39,73,10,18,21,25,6,34,23,1,4,25,26
0020900006,2009-10-28,1610612753,ORL,120,45,81,16,29,14,17,8,29,28,5,6,15,21,1610612755,PHI,106,39,78,7,18,21,30,8,26,19,9,6,13,21
0020900007,2009-10-28,1610612761,TOR,101,34,75,5,16,28,37,7,41,23,4,6,13,30,1610612739,CLE,91,29,83,9,22,24,37,13,36,19,4,2,14,27
0020900008,2009-10-28,1610612738,BOS,92,33,76,11,29,15,19,10,34,28,10,8,12,22,1610612766,CHA,59,23,74,0,10,13,25,14,32,10,6,4,18,23
0020900009,2009-10-28,1610612748,MIA,115,47,83,7,15,14,17,7,36,21,6,3,16,20,1610612752,NYK,93,33,87,10,39,17,21,12,27,19,8,3,13,17
0020900016,2009-10-28,1610612746,LAC,107,43,77,6,13,15,27,7,28,27,9,7,15,24,1610612756,PHX,109,41,80,7,15,20,27,10,26,19,6,5,14,20
0020900014,2009-10-28,1610612743,DEN,114,43,89,5,13,23,30,14,28,22,5,6,13,25,1610612762,UTA,105,37,81,6,10,25,29,10,29,26,3,4,15,20
0020900015,2009-10-28,1610612744,GSW,107,44,89,4,11,15,23,13,28,25,7,8,16,22,1610612745,HOU,108,40,86,12,26,16,20,13,28,30,14,7,18,22
0020900012,2009-10-28,1610612760,OKC,102,39,76,8,14,16,20,8,33,20,4,6,12,19,1610612758,SAC,89,32,79,3,16,22,28,10,27,13,6,5,12,23
0020900013,2009-10-28,1610612759,SAS,113,45,86,9,24,14,20,11,31,29,4,0,10,22,1610612740,NOH,96,39,78,5,10,13,22,5,28,17,5,4,10,19
0020900010,2009-10-28,1610612763,MEM,74,26,72,2,12,20,31,17,32,10,3,3,14,26,1610612765,DET,96,37,72,6,16,16,29,10,29,20,5,4,9,27
0020900011,2009-10-28,1610612750,MIN,95,34,93,1,7,26,35,18,32,14,15,2,10,23,1610612751,NJN,93,34,81,0,8,25,29,14,38,20,4,10,22,24
0020900017,2009-10-29,1610612741,CHI,92,35,84,3,16,19,28,15,37,20,5,9,9,20,1610612759,SAS,85,33,78,4,21,15,23,8,36,15,5,5,13,23
0020900018,2009-10-29,1610612757,POR,94,28,81,5,19,33,41,14,30,16,4,5,7,30,1610612743,DEN,97,28,61,3,11,38,49,5,31,11,6,3,8,30
0020900019,2009-10-30,1610612766,CHA,102,35,92,3,18,29,36,12,43,18,8,6,15,19,1610612752,NYK,100,38,98,9,36,15,18,10,40,20,5,7,17,28
0020900022,2009-10-30,1610612738,BOS,118,43,74,12,24,20,24,10,32,33,7,5,16,22,1610612741,CHI,90,34,82,2,15,20,27,16,20,19,6,3,15,27
0020900021,2009-10-30,1610612737,ATL,100,32,78,5,20,31,34,11,36,18,5,7,12,24,1610612764,WAS,89,35,79,5,13,14,22,8,32,19,5,5,14,23
0020900024,2009-10-30,1610612754,IND,83,29,79,4,23,21,26,12,27,16,4,9,14,31,1610612748,MIA,96,30,69,1,7,35,46,13,32,16,7,3,15,23
0020900023,2009-10-30,1610612765,DET,83,26,70,5,17,26,34,9,34,12,6,5,15,27,1610612760,OKC,91,33,76,2,11,23,30,9,36,23,6,5,11,28
0020900020,2009-10-30,1610612755,PHI,99,32,70,6,18,29,34,6,39,18,12,7,19,22,1610612749,MIL,86,34,85,7,23,11,19,12,32,17,7,2,20,27
