36,5,24,42,19,6,5,12,103,34,6,17,39,18,6,2,13,91,32,6,17,41,17,7,4,14,89,34,6,16,41,22,7,5,13,92,12,180,
36,5,24,42,19,6,5,11,102,33,5,18,39,17,6,2,13,91,35,6,18,38,19,6,2,12,95,40,9,18,42,24,7,6,13,108,6,196,
35,6,24,42,19,6,5,11,102,33,6,18,39,18,6,2,13,91,37,10,22,41,22,8,7,15,108,40,6,18,44,22,7,4,14,106,8,204,
35,6,24,42,18,6,5,11,102,33,6,18,39,17,5,2,12,92,38,7,14,41,20,9,4,16,98,38,6,22,45,23,9,6,15,105,7,221,
35,6,25,42,19,6,5,11,103,34,6,18,39,17,6,2,12,93,33,5,18,40,17,6,4,12,90,35,5,18,42,21,5,6,15,94,12,190,
35,6,25,43,18,6,5,12,102,33,6,18,38,17,6,2,12,92,35,6,18,39,21,6,4,13,96,36,5,16,39,18,6,4,12,94,-4,182,
35,6,25,43,18,6,5,12,102,34,6,18,39,17,6,2,12,92,37,4,17,40,20,7,4,15,97,40,5,19,41,23,8,5,14,105,17,223,
35,6,25,43,19,6,5,12,103,34,6,18,38,17,6,2,12,93,33,5,16,37,18,7,4,12,89,36,5,17,41,21,7,5,13,97,1,175,
35,6,24,43,18,5,5,12,102,34,6,18,38,18,6,2,12,93,34,5,18,40,20,6,3,13,93,39,9,18,43,24,8,6,13,107,27,207,
35,6,24,43,18,5,5,12,103,34,6,18,39,17,6,2,12,92,37,6,17,41,20,6,3,16,98,38,9,20,38,22,7,6,12,105,18,176,
35,6,24,43,18,6,5,12,102,33,6,18,39,17,6,2,12,92,35,7,17,42,20,6,5,15,96,37,6,20,42,23,7,5,13,101,5,229,
36,6,24,43,19,6,5,12,103,34,6,18,39,17,6,2,12,93,38,4,18,42,20,7,4,15,98,40,6,19,41,23,7,5,14,106,20,214,
36,6,23,43,19,6,5,12,103,34,6,18,39,17,6,2,12,93,36,5,17,38,18,7,5,15,95,39,6,21,44,23,7,4,14,108,8,234,
36,6,24,42,18,6,5,11,104,34,6,18,39,17,6,2,12,94,37,9,19,40,21,7,6,14,105,39,6,20,45,21,7,5,14,105,-5,177,
36,6,23,42,18,6,5,12,103,34,6,18,39,17,6,2,12,93,35,9,17,40,19,5,4,12,98,36,6,18,40,21,6,4,12,97,-3,195,
36,6,23,41,18,6,5,12,103,34,6,18,39,18,6,2,12,94,36,5,17,44,20,6,4,13,96,35,5,18,37,20,6,5,12,93,-1,173,
36,6,23,41,18,6,5,12,102,34,6,18,39,17,6,2,12,93,35,6,17,38,21,8,4,12,94,35,6,18,39,20,6,4,15,97,-9,201,
36,6,23,41,18,6,5,12,102,34,6,18,39,18,6,2,12,94,37,6,18,43,21,6,4,12,100,37,7,14,39,22,6,4,11,96,6,182,
36,6,23,41,18,6,5,12,102,34,6,18,39,18,6,2,12,94,37,3,17,41,20,9,5,14,97,36,7,19,42,21,7,7,16,98,33,203,
36,6,23,41,18,6,5,12,102,34,6,18,38,18,6,2,12,93,38,7,18,41,21,6,3,13,101,38,5,16,39,20,6,4,12,98,30,190,
36,6,23,41,19,6,5,12,103,34,6,17,38,18,6,2,12,93,37,5,22,42,19,7,5,13,102,39,5,17,42,21,6,4,13,101,-11,181,
36,6,23,41,18,6,5,12,102,34,6,17,39,18,6,2,12,93,36,8,22,39,20,7,3,14,104,39,7,18,40,23,7,6,13,105,5,201,
36,6,23,41,18,6,5,12,102,34,6,17,38,17,6,2,12,93,37,4,17,42,21,7,3,12,98,37,6,19,42,21,7,4,12,99,12,210,
36,6,23,41,18,6,5,12,102,34,6,17,38,18,6,2,12,93,38,8,20,40,23,7,4,13,105,41,5,18,41,22,7,5,13,106,6,244,
36,6,23,41,18,6,5,12,103,34,6,17,38,18,6,2,12,94,34,5,16,39,18,7,4,12,90,35,4,19,42,20,5,5,14,94,-5,175,
36,6,23,41,18,6,5,12,102,34,6,17,38,18,6,2,12,94,33,4,18,40,19,6,4,14,89,36,7,18,38,22,7,5,12,97,9,215,
36,6,23,41,18,6,5,12,103,34,6,17,38,18,6,2,12,94,35,4,17,39,22,8,3,13,93,33,5,18,40,18,6,4,14,90,23,177,
37,5,17,38,23,8,5,11,97,33,6,17,40,19,6,3,14,91,35,5,26,42,17,8,5,13,101,39,6,17,41,21,6,4,13,102,-5,189,
36,5,18,39,23,8,5,12,97,33,6,16,38,18,6,4,14,90,34,5,18,40,18,4,4,11,92,36,5,19,42,22,6,4,11,98,14,196,
37,5,17,40,23,7,5,12,97,33,6,16,37,19,6,4,14,90,36,6,16,40,21,6,4,13,94,35,5,17,40,18,6,4,12,94,7,179,
37,5,17,40,23,7,5,12,97,33,6,16,37,18,5,4,14,89,37,7,21,43,21,7,4,12,102,37,6,15,41,21,6,5,11,97,-15,191,
37,5,17,39,22,7,4,12,96,34,6,16,37,19,5,3,14,90,36,4,18,41,20,6,4,14,95,37,6,21,43,21,8,4,12,101,7,161,
36,5,17,39,22,7,5,12,96,33,6,16,38,18,5,3,14,89,38,8,14,40,20,9,3,16,98,38,7,23,45,23,9,6,15,106,-7,213,
36,5,17,40,22,7,5,12,96,34,6,16,38,19,5,3,13,90,34,8,17,39,18,5,4,13,95,35,7,17,38,20,7,4,12,95,3,181,
36,5,17,40,22,7,4,12,96,34,6,16,38,19,5,3,13,90,38,5,18,39,21,7,4,15,100,40,6,19,39,23,8,5,14,106,4,166,
36,5,17,41,22,7,4,12,95,34,6,15,38,19,5,3,13,90,37,4,17,41,20,9,4,15,97,36,7,20,43,21,8,6,17,100,1,205,
